Request_Size,Inter_RR_Time,DL_Time,DL_Vol,DL_Size,PB_Time
583,0.004832999999997867,0.005944000000003058,10602,10,16.448505
1034,0.017106999999999317,8.000000001118224e-06,1592,6,16.474616
654,0.009882999999998532,0.002476000000001477,23100,17,19.934595
562,0.0029119999999984714,0.055167000000000854,70024,49,24.182383
565,0.0036009999999997433,0.004895999999998679,69926,48,24.251007
565,0.003206999999999738,0.025888999999999385,145450,98,24.282332
656,0.0037810000000000343,0.8948640000000019,985902,656,24.312752
656,0.00420000000000087,0.5414239999999992,558982,371,25.215799
566,0.011784999999999712,0.007556999999998482,197656,132,27.777712
660,0.010905000000001053,0.07121100000000169,827456,549,28.779365
660,0.009949000000002428,0.015692999999998847,512272,340,31.785389
660,0.00975700000000046,0.03991200000000106,1016740,674,33.786951
660,0.011463000000006218,0.279519999999998,509764,339,36.788042
660,0.010260999999999854,0.12255300000000346,1027372,682,38.789221
660,0.0039529999999956544,0.3924650000000014,1029212,682,41.793379
660,0.009900000000001796,0.04911200000000093,1022996,678,46.800978
660,0.010071000000003494,0.7658819999999977,609956,406,49.802968
660,0.010828000000003613,0.023296999999999457,927838,615,51.805859
660,0.004027000000000669,0.2119379999999964,838364,556,54.812697
660,0.00470200000000176,0.40041199999999577,506481,337,56.815542
567,0.010053999999996677,0.022773999999998296,511151,341,59.82162
660,0.005217999999999279,0.8697820000000007,967312,644,61.823192
660,0.01153200000000254,0.017364999999998076,494184,328,64.831064
660,0.010474000000002093,2.3767210000000034,1541816,1023,68.837362
660,0.010080999999999563,0.04010100000000705,1543012,1022,73.843032
660,0.010249000000001729,0.04463799999999196,1544920,1024,78.850407
660,0.01207699999999079,0.3201620000000105,1543310,1023,83.864901
660,0.010121000000012259,0.5318539999999956,1540152,1021,88.869976
660,0.01211399999999685,0.0853350000000006,1481402,982,93.883461
660,0.010530000000002815,0.08312600000000714,1541236,1022,98.892316
660,0.004553999999998837,0.06804700000000707,1540258,1021,109.915409
660,0.010337000000006924,2.074770000000001,1542030,1023,114.925969
660,0.004391999999995733,0.051043000000007055,1542900,1022,119.941901
660,0.010796999999996615,0.04178699999999935,1543495,1023,124.948683
660,0.010919999999998709,0.037610999999998285,1544753,1024,129.965498
660,0.009935000000012906,0.0403259999999932,1562699,1037,139.995739
660,0.003264999999998963,0.036074000000013484,1542505,1024,145.007475
660,0.004447999999996455,0.07862099999999828,1542486,1023,150.019181
660,0.007494999999977381,0.08515500000001452,1545025,1024,156.034792
660,0.011752000000001317,0.0398219999999867,1544832,1024,161.044587
660,0.010004999999978281,0.0408130000000142,1544070,1023,166.056776
660,0.010297000000008438,0.04846599999999057,1497011,992,171.067746
568,0.0036960000000192395,0.024816999999984546,43860,30,171.129393
661,0.010664999999988822,0.07798300000001746,626907,417,134.793722
660,0.010239999999999583,0.04577200000000037,1429518,947,6.488806
661,0.010184999999978572,0.027300000000025193,960697,637,139.804121
661,0.0038279999999986103,0.03415799999999081,1252495,830,144.815709
660,0.004293000000000546,0.027900999999999954,783006,519,11.496391
661,0.0038480000000049586,0.05290099999999143,1159208,768,149.829643
660,0.004051000000000471,0.03252600000000072,1027954,681,16.512368
661,0.004122999999992771,0.02444700000000921,908308,602,154.847373
661,0.009999000000021852,0.013831999999979416,512299,341,159.866471
661,0.009913000000011607,0.053618000000000166,1543181,1023,164.879304
660,0.004680000000000462,0.02588700000000088,764958,507,21.519506
661,0.004231000000004315,0.041422000000011394,1322024,876,170.906354
660,0.004559999999997899,0.04712300000000269,1543492,1022,27.174741
660,0.004555999999993787,0.02092200000000588,671452,446,32.54449
660,0.01165799999999706,0.020867000000002633,710246,471,37.178345
660,0.004281999999996344,0.04401399999999711,1543462,1023,42.564964
660,0.007179000000000713,0.03728900000000124,1543076,1022,47.182237
660,0.010090999999995631,0.02488999999999919,909750,603,52.587873
660,0.0035419999999959373,0.024839000000000055,1026488,680,57.185898
660,0.008634000000000697,0.5256329999999991,1544967,1024,62.614635
660,0.003832000000002722,0.022333000000003267,909830,603,67.620025
660,0.011026999999998566,0.03841800000000717,1546260,1025,73.655203
660,0.010649999999998272,0.08312399999999798,1543856,1024,78.654323
660,0.009833000000000425,0.04027700000000323,1543486,1023,83.66681
660,0.010272000000000503,0.03462400000000798,1026346,681,88.677539
660,0.01049199999999928,0.057529000000002384,1541756,1022,93.691569
660,0.010042999999996027,0.22522300000001394,1544004,1023,98.704584
660,0.00997300000000223,0.04198499999999683,1542860,1022,103.715526
660,0.010818999999997914,0.027226999999996337,1029164,682,108.741889
660,0.009993999999991843,0.021332999999998492,747785,496,113.742068
660,0.013112000000006674,0.02659500000000037,605725,403,119.752248
660,0.009848000000005186,0.01800899999999217,591481,393,124.766351
661,0.010176000000001295,0.017099999999999227,580504,386,129.777581
569,0.003480999999993628,0.405099000000007,500222,333,129.80793
594,0.010549999999999837,0.0026239999999999597,39212,27,2.017157
666,0.004922000000000093,0.00711700000000004,189232,127,2.068167
661,0.01003799999999444,0.03840900000000147,1527952,1012,114.915463
661,0.004089000000000009,0.016082999999999625,439704,292,2.414642
661,0.004471999999992704,1.4050980000000095,1029238,683,119.941506
661,0.00416699999999981,0.03236599999999967,1288686,854,7.431168
661,0.010087999999999653,0.046995000000000786,1449548,961,12.458409
661,0.0038699999999920465,0.03244400000001235,1305610,865,124.966081
661,0.004114000000001283,0.038755999999999347,1513127,1002,17.480621
661,0.009936999999979435,0.040288000000003876,1544486,1023,129.9874
661,0.010297000000001333,0.028631999999998214,1018630,675,22.508854
661,0.0034880000000043765,0.014488999999997532,536456,356,135.016525
661,0.01097000000001458,0.04601299999998787,1543422,1023,141.04707
661,0.010671000000002095,0.04392099999998322,1543028,1022,146.062183
661,0.004605999999999,0.019874999999998977,699912,464,27.526112
661,0.003755999999981441,0.02209600000000478,831206,551,151.093847
661,0.010713000000009743,0.0358049999999821,1544494,1023,156.122446
661,0.010627999999996973,0.0484390000000019,1375898,912,33.556981
569,0.004148000000000707,0.02637200000000206,140580,94,33.619892
661,0.010551999999989903,0.03694899999999279,1544478,1023,161.144686
661,0.010637000000002672,0.02515600000000262,1014240,672,38.587841
661,0.004242000000004964,0.03550599999999804,1028676,682,166.156052
661,0.01102600000000109,0.025252999999999304,1029084,682,43.614134
661,0.005123000000025968,0.024788999999998396,956532,634,171.171813
661,0.012187000000004389,0.02421799999999763,945950,627,53.647324
661,0.004072000000000742,0.20419199999999904,950595,630,58.633643
661,0.004512000000005401,0.026243000000000904,1022186,677,63.696811
661,0.009934999999998695,0.03486700000000553,1546024,1024,68.637351
661,0.004153999999999769,0.025804999999991196,909910,603,73.730162
661,0.0043539999999921974,0.009377000000000635,99462,67,78.647137
639,0.002992000000006101,0.027568999999999733,1218478,807,78.66175
661,0.003937000000007629,0.03122999999999365,1331868,882,83.780666
661,0.004064999999997099,2.1578930000000014,1355072,899,89.807911
661,0.0065529999999967,0.09548699999999144,1314440,872,94.823389
661,0.005113999999991847,0.0338040000000035,1314510,871,99.849061
661,0.005203000000008728,0.02017199999998809,797890,529,104.870583
661,0.007194000000012579,0.024426999999988652,1028436,682,109.894753
622,0.0040129999999996,0.24208000000000007,90990,62,2.017415
625,0.009900000000001796,0.2765990000000045,659154,439,127.678997
578,0.0047600000000000975,0.08417899999999978,159986,108,2.274419
622,0.010293000000018537,0.11462499999998954,121044,82,128.687559
592,0.0035340000000019245,0.2194939999999974,499795,333,128.814648
624,0.005478000000000094,0.11280299999999954,136890,92,5.26654
622,0.010179000000000826,0.23593699999999984,450967,301,6.187745
625,0.010307000000011612,0.5870730000000037,1000082,665,132.690158
624,0.010407000000000721,0.4248650000000005,500066,333,8.293078
625,0.01041999999998211,2.2307240000000093,1015326,675,137.695557
624,0.008162999999999698,1.4776129999999998,819442,546,10.299042
661,3.700000002027082e-05,0.009013999999979205,24096,16,139.937764
661,1.162787999999999,0.19128599999999985,503020,334,12.432313
661,0.00034999999999740794,0.005596999999994523,16014,11,139.947314
625,0.010984000000007654,0.45477799999997615,994278,662,143.717026
624,0.0034779999999976496,0.22012199999999993,489636,326,16.319825
622,0.00978399999999624,0.20056999999999903,7596,6,144.718531
625,0.009994000000006054,0.995238999999998,412822,275,148.722761
625,0.008466999999999558,0.43080600000000047,725872,484,20.88042
622,0.0036090000000008615,0.2034249999999993,81390,55,22.267782
625,0.010314999999991414,0.5201600000000042,990002,659,153.737004
661,0.0005830000000024427,0.014670999999999879,31002,21,22.47499
625,0.007208999999999577,2.2546870000000006,1433802,953,24.341952
625,0.009447999999999013,0.8369120000000017,912483,608,29.365033
622,0.010756000000000654,0.0003609999999980573,132,2,32.324202
661,0.005055999999996175,0.021093000000000472,36208,24,32.528336
661,0.000321999999982836,1.3994169999999997,116887,78,160.079022
625,0.010074999999993395,0.20558600000000382,140209,95,34.374751
625,0.0034090000000048803,0.2742069999999899,645876,430,164.757542
582,0.00381300000000806,0.156770999999992,280182,187,165.047443
661,0.40486400000000344,0.07097900000000124,204126,136,37.551947
625,0.010046999999985928,0.33512300000001005,753403,503,169.76971
622,0.009818000000002769,0.4866829999999993,292366,196,38.341235
625,0.008206000000001268,0.5861599999999996,500082,333,39.391071
625,0.003950000000003229,0.1678579999999954,49764,34,42.398193
661,0.1944820000000007,0.19330999999999676,501506,333,47.584708
625,0.006337999999999511,0.8035580000000024,819135,545,50.444305
625,0.0071280000000015775,0.2871810000000039,436806,291,55.467423
625,0.004573000000000604,0.5670399999999987,576594,384,60.889383
625,0.010199000000000069,0.29113000000000966,500090,333,66.515999
661,0.9649600000000049,0.19031799999999066,501514,333,68.680773
625,0.009701000000006843,0.15219499999999186,177814,119,73.537212
661,0.000844000000000733,0.03902999999999679,54360,36,73.706203
622,0.01112600000000441,0.33507799999999577,427092,285,75.513472
622,0.003512999999998101,0.343900000000005,270454,181,80.524827
625,0.009878999999997973,0.11137999999999693,221480,148,84.572748
622,0.010348000000007573,0.2144490000000019,120642,82,86.540719
622,0.0037240000000053897,0.22665999999999542,113535,77,91.56566
622,0.012309000000001902,0.2981139999999982,330664,221,96.593066
592,0.0037700000000029377,0.23094199999999887,265111,177,96.905839
625,0.0073980000000091195,0.49776299999999196,500074,333,100.618787
625,0.012927000000004796,0.2874079999999992,486576,324,105.632201
625,0.010117000000008147,0.44620700000000113,506214,339,121.668094
622,0.007331000000007748,0.22753799999999558,117144,80,123.67011
558,0.005279999999999951,0.20440099999999983,62760,43,2.90045
622,0.010194999999995957,0.12545300000000736,158817,107,114.622018
661,1.3370579999999999,0.1966670000000006,503004,334,5.540538
625,0.012883999999999673,0.00186300000000017,330,5,123.544873
661,0.1519130000000004,0.1940799999999996,503028,334,11.552147
549,0.011617999999998574,0.19928999999999064,518204,346,128.080779
625,0.0036810000000002674,0.6869249999999987,498576,332,17.316578
661,4.899999998997373e-05,2.999999992425728e-06,1888,2,128.292738
625,0.009788000000014563,0.6072719999999947,426875,285,128.560017
582,0.003985999999997603,1.7032019999999761,534581,357,129.179637
625,0.004602999999999469,0.41669100000000014,313976,210,22.331539
625,0.010165999999998121,1.2616739999999993,1046857,697,134.566611
622,0.009900999999999271,0.12703499999999934,134631,91,23.368009
625,0.00988599999999451,0.3478540000000123,148450,100,139.579445
622,0.009621999999978925,0.13471400000000244,120312,81,140.684299
625,0.0072800000000015075,0.35299699999999845,143779,97,27.340106
618,0.010648000000003321,0.5867609999999956,1507628,1002,143.102325
622,0.009957999999983258,0.16505600000002119,121843,82,146.693159
592,0.0043589999999937845,0.2163189999999986,500349,334,146.870668
550,0.004767000000015287,0.14781599999997752,376590,251,148.117145
625,0.005432999999982258,0.5072370000000035,165225,111,150.386153
583,0.029489999999999128,0.015561999999999188,45180,30,29.429783
570,0.0005359999999967613,0.050059000000000964,131030,87,29.494935
626,0.009887000000020407,0.8597079999999835,1000082,665,160.387219
688,0.0006999999999983686,0.01966499999999982,13989,10,29.54692
622,0.010461000000020704,0.11476299999998218,62440,43,162.732982
661,1.0679500000000033,0.212734999999995,496061,330,31.601222
626,0.011767000000020289,0.8110369999999989,1203661,801,165.642453
622,0.005791999999999575,0.21544200000000302,108738,74,34.415082
626,0.011032999999997628,0.6920219999999802,563334,375,171.659251
625,0.0038009999999957245,0.6363100000000017,501644,334,38.365684
622,0.004596999999996854,2.450246,285938,195,45.437252
625,0.007131000000001109,0.5081270000000018,521262,347,48.386516
622,0.0036710000000041987,0.11352000000000118,110864,75,50.452054
625,0.006480999999993742,0.47728000000000037,501668,334,54.400364
622,0.003388999999998532,0.1399290000000022,183201,123,55.461398
545,0.004152999999995188,0.005231000000001984,74280,51,59.643526
546,0.00396700000000294,0.005302999999997837,152361,102,59.680077
