0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,website
-583.0,33454.12685206958,69055.28452452831,104656.44353200225,140257.602298649,175858.76271349564,211459.92331189243,247061.08399267957,282662.24463565386,318263.40531461086,353864.5658631487,389465.7265443454,425066.886999838,460668.0476591447,496269.208036841,531870.3687261438,567471.5293083504,603072.6899616966,638673.8501077702,674081.0,indiatimes.com
-583.0,96265.54138856886,194608.1215234341,292950.7022650314,391293.2844719249,489635.8670596318,587978.4487549264,686321.0308995532,784663.6091357468,883006.1906926016,981348.7714630711,1079691.3509610274,1178033.933085384,1276376.5150699874,1374719.09727504,1473061.6808857424,1571404.2645137096,1669746.8481343042,1768089.4288631724,1866238.0,nytimes.com
-583.0,40647.141727280956,85787.3551851971,130927.5689484864,176067.7842916414,221208.00062357585,266348.21713527176,311488.4322065306,356628.64774456003,401768.8640909547,446909.08024777606,492049.29668234626,537189.5120766852,582329.7281732274,627469.9446572905,672610.1611578788,717750.3776371455,762890.5941538452,808030.8086484713,852811.0,finance.yahoo.com
-583.0,95976.43722096948,194179.91387758305,292383.3887503475,390586.86544490454,488790.3410101679,586993.8180064826,685197.2960542614,783400.7723819348,881604.2499919106,979807.7276471712,1078011.2058440566,1176214.6842841255,1274418.1620436402,1372621.639372472,1470825.1120007015,1569028.5902425312,1667232.0633227997,1765435.538348662,1863459.0,dailymail.co.uk
-583.0,33594.232985139635,69335.49708836609,105076.76226230683,140818.02815779916,176559.29391149955,212300.55988409134,248041.82604443072,283783.09177288844,319524.3580925667,355265.620672262,391006.8861970327,426748.1527251144,462489.41928950086,498230.6847988427,533971.9511759554,569713.2119557883,605454.4781251849,641195.7442003863,676743.0,indiatimes.com
-583.0,18024.80899751218,38028.65331528513,58032.49722294,78036.34094650792,98040.18454446427,118044.02760117872,138047.8720631386,158051.71478376552,178055.55939212503,198059.40455183867,218063.249501568,238067.09476371494,258070.93972463367,278074.7848546755,298078.6300851519,318082.4753925999,338086.3206957213,358090.16585281416,377914.0,bbc.co.uk
-583.0,14382.074538107565,30743.18309421568,47104.29093801173,63465.39880403833,79826.50651241836,96187.61434514704,112548.7201981326,128909.82250150519,145270.9271378301,161632.03530272678,177993.14304536366,194354.25186974223,210715.36047394222,227076.46909314947,243437.57737675455,259798.6857846217,276159.79384628305,292520.9023428889,308702.0,ndtv.com
-583.0,18545.60261676464,39070.23647429207,59594.869003021435,80119.5027403963,100644.1354361007,121168.7690014707,141693.40195221215,162218.0349240888,182742.6690161861,203267.30293018688,223791.93729429983,244316.57140711803,264841.20577123086,285365.8401353437,305890.474142142,326415.1085062548,346939.74261907296,367464.3769530616,387809.0,bbc.co.uk
-583.0,41963.98780091767,88421.04183685717,134878.09659436622,181335.15468605686,227792.2115228148,274249.2685134784,320706.3264036724,367163.3844392959,413620.44092840696,460077.4979934165,506534.5552410654,552991.6135107713,599448.6715137283,645905.7298035353,692362.7878707452,738819.8443614737,785276.9025586523,831733.960709663,877831.0,finance.yahoo.com
-583.0,60150.17065780402,122515.37832814748,184880.58996178414,247245.80301649545,309611.01706916036,371976.2309130348,434341.44495142903,496706.65816542995,559071.8719827674,621437.0857755243,683802.2997059338,746167.5128704155,808532.727020649,870897.9411586222,933263.1552725709,995628.3689977076,1057993.5830119634,1120358.7970175133,1182544.0,theguardian.com
-583.0,18413.808470973272,38806.65296345758,59199.496823064095,79592.34022466654,99985.18366520695,120378.02784147482,140770.87282560588,161163.717809737,181556.5617057126,201949.4062631349,222342.25078897167,242735.09577310274,263127.94054867956,283520.7857322749,303913.6309736781,324306.47624202474,344699.3207709882,365092.16588951705,385305.0,bbc.co.uk
-571.0,1762.4241359403172,3300.171216387441,4834.776852305658,7076.645210221945,9410.06768110988,11743.491931960067,14076.916182810251,16410.340432075962,18743.764635121144,21077.18874276087,23410.61275610079,25744.036964608946,28077.461082587244,30410.885239198153,32744.30944770631,35077.73360410034,37411.15757275896,39744.581681077514,41908.0,msn.com
-583.0,56182.97755443002,117099.03121360546,178015.08980558024,238931.14817455292,299847.20672137,360763.2657166585,421679.3234924281,482595.38054375164,543511.438210646,604427.4970696844,665343.5558923096,726259.6146080515,787175.6729250504,848091.7317696533,909007.7906336894,969923.8481902237,1030839.9060080182,1091755.963728062,1152284.0,cnn.com
-583.0,98409.90956002235,199046.85877338419,299683.8078124658,400320.7570343232,500957.7074643821,601594.6570279476,702231.6058628245,802868.5567788918,903505.5087087527,1004142.4606245742,1104779.4093958498,1205416.3581602261,1306053.3079165246,1406690.2565888704,1507327.2082797037,1607964.1599698816,1708601.1092907796,1809238.060862169,1909695.0,dailymail.co.uk
