0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,website
-262.0,16853.6830861786,44049.43927516908,67819.19244962135,89742.87161030085,116938.62733191796,135724.35578010415,162920.1119777152,190115.8682631365,216786.38026244793,243757.3750977038,270953.1290744638,293908.8592858096,317612.610560532,338569.63400896714,364350.1214019855,388045.87226708303,405465.62714134087,432661.3834589159,450961.0,abc.net.au
-262.0,31674.36517559905,74370.78956284277,117067.21399009092,159763.63809135443,202460.06252534132,245156.48692676428,287852.9112536702,330549.3356685251,366809.7473474082,397774.05462454853,421522.29288030433,461936.6859398152,497961.070131315,537503.46741385,564182.1931534666,580408.101729205,615572.4734685519,657708.8895745613,679609.0,nytimes.com
-262.0,56568.64419347973,125701.36222656902,194834.08031155032,263966.79804652836,321499.36803754227,384922.0786163856,449826.7668258485,512823.4695090742,571960.1180368788,641092.8344175309,707937.5395697886,773368.2180716512,836658.8827389614,901833.552945572,970966.2707608556,1040098.9885392335,1109231.7063380147,1178364.4244786343,1242423.0,dailymail.co.uk
-262.0,58447.222090868876,134250.57564820576,210053.92878358133,282071.2751603838,357874.6283435712,423485.8812982607,479539.10041953163,542075.588194643,466272.23600243195,390468.8837286626,314665.53211606934,238862.1796492733,168134.86067444744,155111.5840605562,79308.23112535919,3504.878187701186,-72298.47496782089,-148101.8276862833,-218907.0,news.google.com
-262.0,21211.129175412512,51618.32920673919,85043.54740034313,118282.75540361981,151707.97344631713,182849.18945086465,204204.3586370524,224067.4963903998,246258.62853918254,269017.78248711943,284884.8913541229,318310.1092229195,351735.326785772,385160.5446832951,418585.7625672436,452010.9804410384,474968.09167986823,498045.2277056784,507710.0,cnn.com
-262.0,85537.2919909155,155526.3237480925,230787.48142294015,325986.7891100591,402441.98755482194,485293.2184835754,582920.5806131773,680721.9244311216,750734.9285366341,804868.1442946375,872351.2681070176,941894.4432764119,1036565.7725812627,1105618.8597511982,1174787.9714217037,1207114.798458621,1247090.3473782234,1341103.653802838,1400728.0,ndtv.com
-262.0,28247.49478801863,69669.07000548959,111090.64626347228,143376.20877265418,184373.7724391751,225795.34441618389,259112.90633983442,290908.32101571554,328459.8459543218,365049.3391187033,403235.10598250263,436606.4067796723,464489.8640974806,501131.39200140967,542552.9682884587,578530.4872362278,619640.0544970348,661061.6308616662,678623.0,news18.com
-571.0,54787.37885420035,107439.73896144288,174612.13230314318,245420.55050114362,309790.96792134957,342855.13802464237,394765.50133606757,448589.867861438,516508.2999910266,576996.6929024742,600992.99947065,619184.7327339826,685829.6845075223,752410.1064448152,797787.6319263256,814801.3425159868,870829.0143632849,929229.3745735087,897207.0,news.yahoo.com
-571.0,7345.6252376724415,19810.26213196286,32434.915894727837,46201.57054334923,59968.225199839064,73734.87986153318,87501.53447427662,96463.84276038574,107272.77127140271,121039.42589343889,128899.96496892879,140280.68214301462,146444.72881413385,158361.91544059245,172128.57006562612,185895.22474293417,195835.8692052021,205259.5241685041,214767.0,nypost.com
-262.0,44998.58138735739,102017.25224891638,159035.92316371217,209170.5272507908,257155.15659106054,312219.81245159544,369060.4777759667,424229.1398756972,476557.75643972354,531946.4017447658,588243.066995456,638663.6722687043,693430.3320700367,750449.0030527327,807467.674044487,853305.707274581,901068.8659401586,953657.4924322567,1002600.0,theguardian.com
-571.0,20876.722812523265,50166.51014081013,79456.2976127396,108746.08491512443,138035.87250011365,164855.6521028741,185676.67166762974,209757.06621420404,238302.84511424616,262810.56302842364,284604.31825764844,291502.011433521,312749.69201441214,334057.40759490186,345933.1164054199,375222.90397256607,398990.64821871964,423960.415972156,436632.0,theguardian.com
