IP,COUNTRY,LAT,LON,DIST,RTT
34.89.240.90,DE,50.1115,8.6775,6228.32936854181,80.3178071975708
217.243.20.18,DE,50.1095,8.6785,6228.487479938896,93.65432262420654
2.58.52.152,DE,50.1095,8.6785,6228.487479938896,81.1229944229126
46.165.195.19,DE,50.1085,8.6795,6228.599018569494,82.07018375396729
3.121.238.252,DE,50.1085,8.6805,6228.663978116309,79.61325645446777
207.226.224.236,DE,50.1095,8.7015,6229.981455397163,80.11608123779297
83.243.44.55,DE,50.1385,8.7375,6230.9674433793025,83.84628295898438
194.50.92.201,DE,50.1375,8.7375,6231.0140519247,80.73263168334961
185.120.22.29,DE,50.1385,8.7385,6231.032354208337,82.79719352722168
194.93.76.130,DE,50.1205,8.7385,6231.871490710067,112.36176490783691
81.91.160.93,DE,50.1205,8.7395,6231.936419811788,80.82361221313477
156.154.76.254,DE,50.1215,8.7405,6231.954718733491,111.1875057220459
46.101.130.201,DE,50.1205,8.7405,6232.001348607174,78.30898761749268
185.91.44.9,DE,50.1195,8.7415,6232.1129090738805,80.25815486907959
45.76.86.163,DE,50.1175,8.7405,6232.141244661018,80.38721084594727
85.197.82.113,DE,50.1115,8.7395,6232.356127633088,80.1326036453247
192.65.184.54,FR,46.2285,6.0495,6235.3448965874395,82.63657093048096
185.134.197.94,CH,46.1975,6.0575,6237.3946149425565,88.3235216140747
213.225.160.239,FR,48.5795,7.7485,6239.014846604791,79.25105094909668
213.206.174.172,DE,49.4305,8.3615,6239.53309957391,97.94681072235107
81.20.112.23,DE,51.5485,9.9285,6241.650765106594,84.22362804412842
185.70.40.236,CH,46.2005,6.1395,6242.952301674216,91.7109727859497
193.138.218.50,SE,55.5975,13.0395,6243.486824939526,87.62564659118652
134.169.3.165,DE,52.2785,10.5375,6245.967434754171,87.42561340332031
91.209.0.21,SE,55.6875,13.2095,6249.1536168645625,91.1604642868042
62.176.249.60,DE,52.4305,10.7915,6254.669904874372,91.68868064880371
193.135.150.58,CH,46.5185,6.5985,6259.405100679799,86.05289459228516
192.42.42.166,CH,46.9975,6.9515,6260.581027155118,86.95523738861084
212.227.112.66,DE,48.9975,8.3895,6261.828355538506,79.98631000518799
5.1.99.172,CH,46.5175,6.6385,6262.217138588349,85.53974628448486
129.13.73.54,DE,49.0085,8.4085,6262.5633370574205,85.96420288085938
193.141.27.220,DE,48.9485,8.3875,6264.023076604797,91.43335819244385
195.158.60.23,DE,50.5615,9.6805,6272.008774485781,79.43341732025146
213.173.161.11,CH,47.5575,7.5895,6277.099712439289,86.05797290802002
185.188.44.100,CH,47.5085,7.6185,6281.43058265135,90.1256799697876
89.236.171.11,CH,47.5095,7.6215,6281.585886589105,86.8156909942627
141.28.230.229,DE,48.0475,8.2105,6295.376388261365,87.6237154006958
147.87.5.254,CH,46.9505,7.4395,6296.2817968106365,87.33525276184082
89.106.219.238,DE,48.7095,8.7385,6298.718180447816,90.08922576904297
109.70.154.90,CH,46.4675,7.2885,6309.508599505755,90.73500633239746
141.44.3.252,DE,52.1405,11.6395,6320.749645142985,88.24882507324219
129.143.66.65,DE,48.7485,9.1115,6321.555549009813,81.68182373046875
94.177.122.201,CH,47.4485,8.2095,6324.4135181338925,87.41073608398438
146.228.54.24,CH,47.4475,8.2095,6324.462412334115,90.91038703918457
212.9.170.190,DE,48.7115,9.1695,6327.189486150553,86.09049320220947
70.34.195.54,SE,59.3905,17.8785,6331.12585611931,97.54424095153809
156.154.85.254,SE,59.4205,17.9215,6331.912299031494,128.91130447387695
185.42.136.158,SE,59.3315,18.0595,6343.240818084267,104.29108142852783
193.180.242.86,SE,59.3285,18.0675,6343.795484740262,92.74616241455078
13.53.120.216,SE,59.3315,18.0705,6343.806580513252,97.34141826629639
213.108.25.10,SE,59.2975,18.0895,6346.408129430609,100.83959102630615
185.17.70.76,CH,47.4475,8.5375,6346.662210786291,88.01913261413574
185.173.128.71,CH,47.3805,8.4985,6347.320843499199,85.13329029083252
46.234.34.8,CH,47.3915,8.5205,6348.26855260019,89.17341232299805
193.36.105.129,CH,47.4115,8.5415,6348.704866181235,94.56825256347656
91.132.8.99,CH,47.4275,8.5605,6349.202349695461,98.3109712600708
194.242.34.190,CH,47.4275,8.5615,6349.269991783728,88.64114284515381
34.65.57.27,CH,47.3815,8.5375,6349.911869449717,85.4783296585083
185.70.41.236,CH,47.3795,8.5395,6350.1458008915715,93.43492984771729
130.59.80.2,CH,47.3805,8.5475,6350.63806208647,89.22722339630127
93.88.225.55,DE,50.0315,10.5215,6351.464016118839,92.05918312072754
80.242.193.157,CH,47.3995,8.6195,6354.573525546833,89.37532901763916
193.148.250.29,CH,47.4975,8.7215,6356.633269168495,92.58251190185547
217.197.95.69,DE,52.5385,13.2395,6399.822277055691,89.23788070678711
195.16.81.9,DE,51.4005,12.3995,6403.780421445864,89.91568088531494
213.212.129.68,IT,45.0905,7.6575,6403.849631891083,87.56780624389648
81.169.160.78,DE,52.5175,13.3185,6405.6651003757,84.41722393035889
194.116.77.35,IT,45.0405,7.6505,6405.896744966122,90.23096561431885
77.242.176.16,IT,45.5585,8.0305,6406.165307190577,89.04144763946533
192.44.83.3,DE,49.5715,11.0285,6406.781298810525,81.87122344970703
93.174.194.183,FI,65.0115,25.4695,6406.80587059781,117.41483211517334
37.44.1.36,DE,52.5005,13.3695,6409.607113445967,92.56000518798828
31.172.2.193,DE,52.4995,13.3715,6409.778091771964,88.16757202148438
185.27.158.238,DE,52.5205,13.3975,6410.331353361676,94.9575424194336
88.198.173.54,DE,49.4485,11.0085,6411.581990607481,84.62872505187988
78.47.56.73,DE,49.4485,11.0115,6411.776674612349,84.7285509109497
185.104.85.110,CH,47.3615,9.4475,6412.383426505782,89.54946994781494
194.150.191.46,DE,49.4275,11.0215,6413.468145451449,81.42521381378174
77.220.248.89,DE,52.4475,13.4295,6415.869602490986,87.4492883682251
193.27.55.25,DE,49.4515,11.0815,6416.169391499505,88.9157772064209
45.83.105.192,DE,49.4515,11.0815,6416.169391499505,82.00340270996094
185.244.192.10,DE,49.4475,11.0815,6416.368166341423,82.21158981323242
94.199.170.201,AT,47.2705,9.6105,6427.949896879461,94.7373628616333
213.222.217.85,PL,53.5005,14.5895,6433.791443169239,106.20758533477783
213.182.2.254,DE,47.7595,10.3195,6450.84438568938,100.37710666656494
185.54.81.31,CH,45.8485,8.9505,6455.1133648473915,95.55747509002686
109.168.125.243,IT,45.4785,9.1005,6484.490191796195,89.41566944122314
217.29.76.27,IT,45.4795,9.1015,6484.5078124144775,88.99140357971191
92.223.93.208,IT,45.4485,9.1505,6489.502280163554,101.53579711914062
194.187.174.6,IT,45.3795,9.1585,6493.6258008687155,89.86086845397949
188.172.218.22,IT,45.5015,9.3485,6500.460287514347,95.70176601409912
77.220.233.1,DE,51.0395,13.7285,6504.773389014078,93.52436065673828
195.30.70.33,DE,48.1405,11.5315,6511.878076329215,88.80672454833984
185.150.99.5,DE,48.2015,11.5885,6512.503927063287,95.10385990142822
62.245.181.100,DE,48.1875,11.5895,6513.28922464848,88.36138248443604
185.86.232.132,DE,48.2585,11.6675,6514.779615246719,87.8047227859497
193.65.45.86,FI,61.4875,23.7595,6515.229731853175,100.8476734161377
194.126.158.162,DE,48.1195,11.6005,6517.511907771417,85.14547348022461
185.181.224.13,DE,48.0585,11.5605,6518.010382864431,97.1787691116333
94.199.91.189,DE,48.0975,11.5975,6518.4462734168865,88.79992961883545
137.193.69.236,DE,48.0785,11.6505,6522.924152679412,86.36362552642822
185.78.49.100,IT,45.0495,9.7405,6551.208614386332,100.6892442703247
80.92.124.145,AT,47.2815,11.4995,6554.212930347418,96.12479209899902
89.236.107.38,FI,62.2405,25.9075,6573.656606918283,106.62047863006592
185.161.192.39,IT,46.4995,11.3485,6585.0544040577515,88.21072578430176
85.162.162.14,CZ,50.0505,14.3305,6593.632956110496,92.73362159729004
78.128.211.119,CZ,50.0975,14.3875,6594.769787169032,92.26162433624268
217.31.202.20,CZ,50.0785,14.4515,6599.8053330205785,93.1462049484253
81.91.95.116,CZ,50.0775,14.4515,6599.857816386482,86.9511365890503
93.190.128.178,CZ,50.0595,14.4785,6602.507029246881,87.68191337585449
88.86.103.5,CZ,50.0595,14.4795,6602.570148866216,87.50483989715576
185.178.172.32,CZ,50.0785,14.5205,6604.159104141577,89.31713104248047
109.248.43.37,CZ,50.0805,14.5295,6604.621745235465,89.65730667114258
193.46.104.18,AT,47.7885,13.0075,6627.56421095006,96.53167724609375
91.135.161.162,AT,47.8175,13.0405,6628.1963204491685,107.06596374511719
